"","Family","Species_name","Genus","F_mass","M_mass","F_tail","M_tail","Clutch_size","Mating_System","Display","Resource"
"135","48","Amazilia franciae","Amazilia",5.1,4.7,NA,NA,NA,NA,NA,NA
"136","48","Amazilia lactea","Amazilia",NA,5.4,NA,NA,NA,NA,NA,NA
"137","48","Amazilia rosenbergi","Amazilia",3.5,3.4,NA,NA,NA,NA,NA,NA
"138","48","Amazilia rutila","Amazilia",3.4,5,NA,NA,NA,NA,NA,NA
"139","48","Amazilia saucerrottei","Amazilia",4.7,4.5,NA,NA,NA,NA,NA,NA
"140","48","Amazilia tobaci","Amazilia",4.6,4.9,NA,NA,NA,NA,NA,NA
"141","48","Amazilia tzacatl","Amazilia",4.8,5.3,NA,NA,NA,NA,NA,NA
"142","48","Amazilia violiceps","Amazilia",NA,NA,33.4,32.3,2,NA,"1","0"
"143","48","Amazilia viridicauda","Amazilia",5.6,6.2,NA,NA,NA,NA,NA,NA
"144","48","Amazilia viridifrons","Amazilia",5.3,5.5,NA,NA,NA,NA,NA,NA
"145","48","Amazilia yucatanensis","Amazilia",3.7,4.1,32.8,32.8,2,NA,NA,"1"
"146","45","Amazona viridigenalis","Amazona",NA,NA,102.4,108.6,3.4,NA,"1","0"
"147","14","Amazonetta brasiliensis","Amazonetta",370,430,NA,NA,NA,NA,NA,NA
"148","113","Amblyornis macgregoriae","Amblyornis",NA,NA,NA,NA,NA,"5",NA,NA
"149","145","Amblyospiza albifrons","Amblyospiza",36.3,38.5,60.7,65.3,3,NA,"3","0"
"150","146","Ammodramus bairdii","Ammodramus",17.8,18.9,51.6,52.8,4.55,"2","2","1"
"151","146","Ammodramus caudacutus","Ammodramus",16.9,16.8,49,52,3.97,"4",NA,"0"
"152","146","Ammodramus henslowii","Ammodramus",12.7,12.8,42.9,47.9,4.1,NA,"1","0"
"153","146","Ammodramus leconteii","Ammodramus",13.8,13.8,49.8,49,4.51,"2","4",NA
"154","146","Ammodramus maritimus","Ammodramus",22.2,24.3,57.5,60.9,3.44,"2","3","0"
"155","146","Ammodramus savannarum","Ammodramus",18.4,17.7,41.5,44.1,4.28,"2","4","1"
"156","141","Ammomanes cincturus","Ammomanes",16,15.5,49.3,52.8,2.8,NA,NA,NA
"157","141","Ammomanes deserti","Ammomanes",24,26.8,58.2,63.5,3.69,NA,NA,NA
"158","141","Ammomanes grayi","Ammomanes",20.2,22.7,NA,NA,NA,"2",NA,NA
"159","8","Ammoperdix griseogularis","Ammoperdix",183.7,205,56,55.5,10,NA,"1","0"
"160","8","Ammoperdix heyi","Ammoperdix",NA,NA,88.3,92.3,10,NA,NA,"2"
"161","146","Amphispiza belli","Amphispiza",17.7,18.5,59.6,63.7,3.39,NA,"2","1"
"162","146","Amphispiza bilineata","Amphispiza",13.4,14.1,58.6,59.4,2.79,"2",NA,"1"
"163","114","Amytornis barbatus","Amytornis",18,18.8,99.3,108.5,2.5,NA,"2","1"
"164","114","Amytornis dorotheae","Amytornis",22.2,24.3,82,88.8,2.5,NA,"1",NA
"165","114","Amytornis goyderi","Amytornis",16.4,17,77.5,82.9,2.5,NA,"1","1"
"166","114","Amytornis housei","Amytornis",27.7,30.2,NA,NA,2,NA,"1","1"
"167","114","Amytornis purnelli","Amytornis",20,22,78.2,80.6,2.5,"2","1","1"
"168","114","Amytornis striatus","Amytornis",18.9,20.6,86.2,89.2,2.5,"2","2","1"
"169","114","Amytornis textilis","Amytornis",22.1,24,NA,NA,2,NA,"1","2"
"170","114","Amytornis woodwardi","Amytornis",33.2,36.9,100.8,108.2,2,NA,"1","1"
"171","145","Anaplectes rubriceps","Anaplectes",NA,22,47.9,49.3,2.6,NA,"1","1"
"172","80","Anarhynchus frontalis","Anarhynchus",56.7,58.6,43.6,44.9,1.95,"2","1","1"
"173","14","Anas acuta","Anas",866,1025,104,179,8.3,"2","3","0"
"174","14","Anas americana","Anas",766,821,96.3,116,8.48,"2","2","1"
"175","14","Anas aucklandica","Anas",410,521,74,90,3.5,"2","1","1"
"176","14","Anas bahamensis","Anas",569,503,NA,NA,NA,NA,NA,NA
"177","14","Anas bernieri","Anas",344,380,NA,NA,NA,NA,NA,NA
"178","14","Anas capensis","Anas",380,419,NA,NA,8.09,NA,NA,NA
"179","14","Anas castanea","Anas",593,683,NA,91.3,9.5,"2","1",NA
"180","14","Anas clypeata","Anas",590,636,75.8,81.7,9.2,"2",NA,NA
"181","14","Anas crecca","Anas",308,322,64.7,66.9,9.5,"2","2","0"
"182","14","Anas cyanoptera","Anas",363,408,74,71,9.13,NA,NA,NA
"183","14","Anas discors","Anas",451,478,63.9,65,10.1,"2","3","1"
"184","14","Anas eatoni","Anas",441,497,89.3,103.1,4.11,"2","1","0"
"185","14","Anas erythrorhyncha","Anas",566,617,76.3,81.3,10,NA,NA,NA
"186","14","Anas falcata","Anas",585,713,NA,NA,NA,NA,NA,NA
"187","14","Anas flavirostris","Anas",394,429,NA,NA,NA,NA,NA,NA
"188","14","Anas formosa","Anas",431,437,NA,NA,NA,NA,NA,NA
"189","14","Anas fulvigula","Anas",968,1030,NA,NA,9.4,NA,"1","1"
"190","14","Anas georgica","Anas",535,632,89,100,NA,"2",NA,NA
"191","14","Anas gibberifrons","Anas",469,508,NA,NA,NA,NA,NA,NA
"192","14","Anas gracilis","Anas",469,508,81.8,88.2,8.3,"2","1","0"
"193","14","Anas hottentota","Anas",240,NA,NA,NA,7.1,NA,NA,NA
"194","14","Anas laysanensis","Anas",427,463,75.7,74.5,3.8,NA,NA,NA
"195","14","Anas luzonica","Anas",779,906,NA,NA,NA,NA,NA,NA
"196","14","Anas melleri","Anas",911,1010,NA,NA,NA,NA,NA,NA
"197","14","Anas penelope","Anas",724,819,90.7,106,9,NA,NA,NA
